127.0.0.1 - - [26/Feb/2017:13:43:33 +0000] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:43:36 +0000] "GET /ActsInTown-api/WEB-INF/classes/uk/co/luciditysoftware/actsintown/api/config/RootContextConfiguration.java HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:44:02 +0000] "GET /ActsInTown-api/oauth/token?grant_type=password&username=paul_t_d%2B3%40hotmail.com&password=Muppet123! HTTP/1.1" 401 1104
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:44:06 +0000] "OPTIONS /ActsInTown-api/oauth/token?grant_type=password&username=paul_t_d%2B3%40hotmail.com&password=Muppet123! HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:44:08 +0000] "POST /ActsInTown-api/oauth/token?grant_type=password&username=paul_t_d%2B3%40hotmail.com&password=Muppet123! HTTP/1.1" 500 199
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:44:37 +0000] "POST /ActsInTown-api/oauth/token?grant_type=password&username=paul_t_d%2B3%40hotmail.com&password=Muppet123! HTTP/1.1" 500 199
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:46:20 +0000] "POST /ActsInTown-api/oauth/token?grant_type=password&username=paul_t_d%2B3%40hotmail.com&password=Muppet123! HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:46:20 +0000] "OPTIONS /ActsInTown-api/spot/for-current-user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:46:22 +0000] "GET /ActsInTown-api/spot/for-current-user HTTP/1.1" 200 5505
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:52:56 +0000] "OPTIONS /ActsInTown-api/town HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:52:57 +0000] "OPTIONS /ActsInTown-api/user/current HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:52:57 +0000] "GET /ActsInTown-api/user/current HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:52:58 +0000] "OPTIONS /ActsInTown-api/user/by-ids HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:52:58 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:53:00 +0000] "GET /ActsInTown-api/town HTTP/1.1" 200 112230
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:53:00 +0000] "OPTIONS /ActsInTown-api/county HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2017:13:53:01 +0000] "GET /ActsInTown-api/county HTTP/1.1" 200 5792
0:0:0:0:0:0:0:1 - - [26/Feb/2017:14:33:00 +0000] "OPTIONS /ActsInTown-api/user/current HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2017:14:33:00 +0000] "GET /ActsInTown-api/user/current HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [26/Feb/2017:14:33:11 +0000] "OPTIONS /ActsInTown-api/user/by-ids HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2017:14:33:11 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [26/Feb/2017:14:33:55 +0000] "GET /ActsInTown-api/user/current HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [26/Feb/2017:14:34:00 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [26/Feb/2017:14:34:11 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [26/Feb/2017:14:34:18 +0000] "GET /ActsInTown-api/user/current HTTP/1.1" 200 284
